Date,Closing Value
4/20/2011,2802.51001
4/19/2011,2744.969971
4/18/2011,2735.379883
4/15/2011,2764.649902
4/14/2011,2760.219971
4/13/2011,2761.52002
4/12/2011,2744.790039
4/11/2011,2771.51001
4/8/2011,2780.419922
4/7/2011,2796.139893
4/6/2011,2799.820068
4/5/2011,2791.189941
4/4/2011,2789.189941
4/1/2011,2789.600098
3/31/2011,2781.070068
3/30/2011,2776.790039
3/29/2011,2756.889893
3/28/2011,2730.679932
3/25/2011,2743.060059
3/24/2011,2736.419922
3/23/2011,2698.300049
3/22/2011,2683.870117
3/21/2011,2692.090088
3/18/2011,2643.669922
3/17/2011,2636.050049
3/16/2011,2616.820068
3/15/2011,2667.330078
3/14/2011,2700.969971
3/11/2011,2715.610107
3/10/2011,2701.02002
3/9/2011,2751.719971
3/8/2011,2765.77002
3/7/2011,2745.629883
3/4/2011,2784.669922
3/3/2011,2798.73999
3/2/2011,2748.070068
3/1/2011,2737.409912
2/28/2011,2782.27002
2/25/2011,2781.050049
2/24/2011,2737.899902
2/23/2011,2722.98999
2/22/2011,2756.419922
2/18/2011,2833.949951
2/17/2011,2831.580078
2/16/2011,2825.560059
2/15/2011,2804.350098
2/14/2011,2817.179932
2/11/2011,2809.439941
2/10/2011,2790.449951
2/9/2011,2789.070068
2/8/2011,2797.050049
2/7/2011,2783.98999
2/4/2011,2769.300049
2/3/2011,2753.879883
2/2/2011,2749.560059
2/1/2011,2751.189941
1/31/2011,2700.080078
1/28/2011,2686.889893
1/27/2011,2755.280029
1/26/2011,2739.5
1/25/2011,2719.25
1/24/2011,2717.550049
1/21/2011,2689.540039
1/20/2011,2704.290039
1/19/2011,2725.360107
1/18/2011,2765.850098
1/14/2011,2755.300049
1/13/2011,2735.290039
1/12/2011,2737.330078
1/11/2011,2716.830078
1/10/2011,2707.800049
1/7/2011,2703.169922
1/6/2011,2709.889893
1/5/2011,2702.199951
1/4/2011,2681.25
1/3/2011,2691.52002
12/31/2010,2652.870117
12/30/2010,2662.97998
12/29/2010,2666.929932
12/28/2010,2662.879883
12/27/2010,2667.27002
12/23/2010,2665.600098
12/22/2010,2671.47998
12/21/2010,2667.610107
12/20/2010,2649.560059
12/17/2010,2642.969971
12/16/2010,2637.310059
12/15/2010,2617.219971
12/14/2010,2627.719971
12/13/2010,2624.909912
